total_bill,customer_sex,smoker,day,time,group_size,tip_percentage,server_sex,customer_age,any_children,ordered_dessert,number_drinks
7.25,Male,Yes,Sun,Dinner,2,71.03448276,Female,63.9642042,Yes,No,0
9.6,Female,Yes,Sun,Dinner,2,41.66666667,Male,55.12559811,No,No,0
3.07,Female,Yes,Sat,Dinner,1,32.5732899,Male,45.32489632,No,No,0
11.61,Male,No,Sat,Dinner,2,29.19896641,Male,47.81858294,No,No,2
23.17,Male,Yes,Sun,Dinner,4,28.05351748,Female,43.99297952,No,No,0
14.31,Female,Yes,Sat,Dinner,2,27.95248078,Male,53.97953456,No,No,0
7.51,Male,No,Thur,Lunch,2,26.63115846,Male,46.76010831,No,Yes,0
16.32,Female,Yes,Fri,Dinner,2,26.34803922,Male,47.01703622,No,No,5
13.42,Female,Yes,Fri,Lunch,2,25.9314456,Male,51.10506632,Yes,Yes,1
10.29,Female,No,Sun,Dinner,2,25.26724976,Female,43.20166074,No,Yes,0
23.33,Male,Yes,Sun,Dinner,2,24.21774539,Male,41.64758924,No,Yes,1
20.69,Male,No,Sun,Dinner,5,24.1662639,Male,38.07642408,Yes,No,0
16.58,Male,Yes,Thur,Lunch,2,24.12545235,Male,37.87986736,No,No,0
16.82,Male,Yes,Sun,Dinner,2,23.78121284,Male,49.54031712,No,Yes,4
24.71,Male,No,Thur,Lunch,2,23.67462566,Female,34.56318093,No,No,0
28.17,Female,Yes,Sat,Dinner,3,23.0741924,Female,51.75719954,No,No,0
8.77,Male,No,Sun,Dinner,2,22.8050171,Male,43.05879544,Yes,Yes,0
16.29,Male,No,Sun,Dinner,3,22.77470841,Male,44.90554935,No,No,0
17.92,Male,No,Sat,Dinner,2,22.76785714,Male,43.58427132,No,Yes,0
22.23,Male,No,Sun,Dinner,2,22.49212776,Female,47.91466664,No,Yes,0
8.58,Male,Yes,Fri,Lunch,1,22.37762238,Male,38.74901082,No,No,0
11.35,Female,Yes,Fri,Dinner,2,22.02643172,Male,45.63679869,No,No,0
13.94,Male,No,Sun,Dinner,2,21.95121951,Male,42.203917,No,No,0
18.28,Male,No,Thur,Lunch,2,21.88183807,Female,51.52995183,Yes,Yes,1
14.78,Male,No,Sun,Dinner,2,21.85385656,Female,48.60327722,No,No,0
14,Male,No,Sat,Dinner,2,21.42857143,Male,54.16278356,No,Yes,0
18.71,Male,Yes,Thur,Lunch,3,21.37894174,Male,47.51257451,No,No,0
19.81,Female,Yes,Thur,Lunch,2,21.15093387,Male,47.95270166,No,No,1
13.16,Female,No,Thur,Lunch,2,20.89665653,Female,51.73236289,No,No,0
16.97,Female,No,Sun,Dinner,3,20.6246317,Female,50.08249763,No,No,0
18.24,Male,No,Sat,Dinner,2,20.61403509,Male,45.74292625,Yes,No,0
18.29,Male,Yes,Sat,Dinner,4,20.55768179,Male,49.7812383,No,No,0
13.28,Male,No,Sat,Dinner,2,20.48192771,Male,43.1677736,No,No,0
16.66,Male,No,Thur,Lunch,2,20.40816327,Male,49.78638495,No,No,0
29.03,Male,No,Sat,Dinner,3,20.39269721,Male,49.98701167,Yes,No,0
14.83,Female,No,Sun,Dinner,2,20.36412677,Male,44.59676375,No,No,0
17.31,Female,No,Sun,Dinner,2,20.21952629,Male,38.1046743,No,No,0
12.48,Female,No,Thur,Lunch,2,20.19230769,Female,51.19506601,No,Yes,0
17.47,Female,No,Thur,Lunch,2,20.03434459,Female,43.14840649,No,No,0
15.81,Male,Yes,Sat,Dinner,2,19.98734978,Male,59.16869684,No,Yes,0
12.54,Male,No,Sun,Dinner,2,19.93620415,Male,50.78051278,Yes,Yes,0
25.89,Male,Yes,Sat,Dinner,4,19.93047509,Female,43.1777317,No,No,0
15.06,Female,No,Sat,Dinner,2,19.92031873,Female,59.45011669,No,Yes,0
10.09,Female,Yes,Fri,Lunch,2,19.82160555,Male,52.29564196,No,Yes,0
21.7,Male,No,Sat,Dinner,2,19.8156682,Female,46.00657629,No,Yes,0
20.49,Male,Yes,Sat,Dinner,2,19.81454368,Female,41.52759437,Yes,No,0
25.28,Female,Yes,Sat,Dinner,2,19.77848101,Male,42.79812815,Yes,No,1
11.69,Male,No,Thur,Lunch,2,19.76047904,Male,53.42423008,No,No,0
12.66,Male,No,Sun,Dinner,2,19.74723539,Male,49.48671617,Yes,Yes,0
50.81,Male,Yes,Sat,Dinner,3,19.68116512,Male,44.49527906,No,No,0
16.47,Female,Yes,Thur,Lunch,3,19.61141469,Female,45.3061251,No,Yes,0
34.3,Male,No,Thur,Lunch,6,19.5335277,Female,41.30756729,No,Yes,0
15.38,Female,Yes,Fri,Dinner,2,19.50585176,Female,40.68221559,No,No,0
20.92,Female,No,Sat,Dinner,2,19.50286807,Male,46.62982314,Yes,No,0
13.39,Female,No,Sun,Dinner,2,19.49215833,Male,47.43868763,No,No,0
20.53,Male,Yes,Thur,Lunch,4,19.48368242,Female,47.69513814,No,Yes,0
10.33,Female,No,Thur,Lunch,2,19.36108422,Female,29.59622248,No,No,0
10.34,Male,Yes,Thur,Lunch,2,19.34235977,Male,44.47905809,Yes,No,0
15.53,Male,Yes,Sat,Dinner,2,19.3174501,Male,48.11134891,No,No,0
18.15,Female,Yes,Sun,Dinner,3,19.28374656,Female,47.49715189,No,No,2
39.42,Male,No,Sat,Dinner,4,19.22881786,Male,55.70478887,Yes,Yes,0
15.69,Male,Yes,Sat,Dinner,3,19.12045889,Female,44.50892381,Yes,No,0
7.56,Male,No,Thur,Lunch,2,19.04761905,Female,47.3959888,No,Yes,0
13.27,Female,Yes,Sat,Dinner,2,18.83948757,Male,38.92232725,No,No,0
10.63,Female,Yes,Sat,Dinner,2,18.81467545,Female,41.23865561,Yes,Yes,0
15.98,Female,No,Fri,Lunch,3,18.77346683,Male,37.24848205,No,No,0
25.29,Male,No,Sun,Dinner,4,18.62396204,Male,47.64627562,No,No,1
48.33,Male,No,Sat,Dinner,4,18.62197393,Male,39.37565459,No,No,0
7.74,Male,Yes,Sat,Dinner,2,18.60465116,Male,46.66140145,No,No,0
32.4,Male,No,Sun,Dinner,4,18.51851852,Female,43.50294557,Yes,Yes,0
27.05,Female,No,Thur,Lunch,6,18.48428835,Female,50.01595877,No,Yes,0
30.4,Male,No,Sun,Dinner,4,18.42105263,Female,36.82498091,No,No,0
17.78,Male,No,Sat,Dinner,2,18.39145107,Male,46.09741745,No,Yes,0
10.07,Female,No,Thur,Lunch,1,18.17279047,Female,46.71968825,No,Yes,0
21.58,Male,No,Sun,Dinner,2,18.16496756,Male,38.20470153,Yes,Yes,0
16.93,Female,No,Sat,Dinner,3,18.13349084,Male,53.31571019,No,No,0
12.16,Male,Yes,Fri,Lunch,2,18.09210526,Male,53.23620339,No,Yes,0
19.49,Male,No,Sun,Dinner,2,18.00923551,Female,44.70126333,No,No,0
11.02,Male,Yes,Sat,Dinner,2,17.96733212,Male,49.79870272,No,Yes,0
8.35,Female,No,Thur,Lunch,2,17.96407186,Male,39.2026374,No,No,0
18.26,Female,No,Thur,Lunch,2,17.79846659,Female,41.73002634,Yes,No,0
14.07,Male,No,Sun,Dinner,2,17.76830135,Male,40.14935979,No,No,0
9.78,Male,No,Thur,Lunch,2,17.68916155,Female,46.48119761,Yes,No,1
17.07,Female,No,Sat,Dinner,3,17.57469244,Female,50.98893457,No,Yes,0
11.38,Female,No,Thur,Lunch,2,17.57469244,Male,43.77523259,No,Yes,0
14.26,Male,No,Thur,Lunch,2,17.5315568,Male,48.18674702,No,No,0
12.76,Female,Yes,Sat,Dinner,2,17.47648903,Female,45.17694801,Yes,No,0
5.75,Female,Yes,Fri,Dinner,2,17.39130435,Male,44.51476764,No,No,0
8.52,Male,No,Thur,Lunch,2,17.37089202,Male,43.64770451,No,No,0
23.1,Male,Yes,Sun,Dinner,3,17.31601732,Male,49.230542,No,Yes,0
29.85,Female,No,Sun,Dinner,5,17.21943049,Male,42.32556104,No,No,0
17.92,Male,Yes,Sat,Dinner,2,17.1875,Female,45.71514695,No,Yes,0
17.51,Female,Yes,Sun,Dinner,2,17.13306682,Male,45.65543442,Yes,No,0
25.21,Male,Yes,Sat,Dinner,2,17.01705672,Female,40.7617706,No,Yes,0
25.56,Male,No,Sun,Dinner,4,16.97965571,Male,46.8639186,No,No,0
29.93,Male,No,Sun,Dinner,4,16.93952556,Male,41.72605013,No,No,0
20.9,Female,Yes,Sun,Dinner,3,16.74641148,Male,39.45986653,Yes,Yes,0
21.01,Male,No,Sun,Dinner,3,16.65873394,Female,40.81407504,No,No,0
10.27,Male,No,Sun,Dinner,2,16.65043817,Male,58.84169284,No,No,0
18.04,Male,No,Sun,Dinner,2,16.62971175,Female,46.32765243,Yes,Yes,0
18.29,Male,No,Sun,Dinner,2,16.40240569,Male,44.30376773,Yes,Yes,0
12.02,Male,No,Sat,Dinner,2,16.38935108,Female,50.32182037,No,No,0
12.26,Female,No,Thur,Lunch,2,16.3132137,Female,40.94687981,Yes,No,0
21.5,Male,No,Sun,Dinner,4,16.27906977,Male,45.81937058,No,Yes,0
18.43,Male,No,Sun,Dinner,4,16.27780792,Female,41.7420665,No,No,0
20.65,Male,No,Sat,Dinner,3,16.22276029,Female,50.25860943,Yes,Yes,0
10.33,Female,No,Sun,Dinner,3,16.16650532,Male,37.91412742,No,Yes,0
10.34,Male,No,Sun,Dinner,3,16.054158610000002,Male,43.32395787,No,No,2
19.82,Male,No,Sat,Dinner,2,16.0443996,Female,45.79075255,No,No,5
31.27,Male,No,Sat,Dinner,3,15.98976655,Male,44.46314363,Yes,No,0
18.78,Female,No,Thur,Dinner,2,15.97444089,Female,49.60604116,Yes,No,0
17.26,Male,No,Sun,Dinner,3,15.87485516,Male,38.35319321,No,No,0
20.29,Male,Yes,Sat,Dinner,2,15.82060128,Male,48.929207,No,No,0
12.74,Female,Yes,Thur,Lunch,2,15.77708006,Female,45.78248445,No,Yes,0
12.69,Male,No,Sat,Dinner,2,15.76044129,Male,40.71356222,Yes,No,0
9.94,Male,No,Sun,Dinner,2,15.69416499,Male,49.53524059,No,No,0
20.08,Male,No,Sat,Dinner,3,15.687251,Male,38.91767164,No,No,0
17.29,Male,No,Thur,Lunch,2,15.67379988,Male,37.68357784,No,Yes,2
11.24,Male,Yes,Sat,Dinner,2,15.65836299,Female,41.78746956,No,Yes,2
22.49,Male,No,Fri,Dinner,2,15.56247221,Male,44.04958173,No,No,0
25.71,Female,No,Sun,Dinner,3,15.55814858,Male,36.32819761,No,No,0
22.42,Female,Yes,Sat,Dinner,2,15.52185549,Female,48.9305158,No,No,0
19.44,Male,Yes,Thur,Lunch,2,15.43209877,Male,45.31312298,Yes,Yes,0
13,Female,Yes,Thur,Lunch,2,15.38461538,Male,40.13992761,No,No,0
13,Female,Yes,Thur,Lunch,2,15.38461538,Female,50.5437232,No,Yes,0
16.27,Female,Yes,Fri,Lunch,2,15.36570375,Male,45.28902081,No,Yes,0
13.03,Male,No,Thur,Lunch,2,15.34919417,Male,47.08265045,No,Yes,0
32.68,Male,Yes,Thur,Lunch,2,15.2998776,Male,44.58233812,No,No,0
19.65,Female,No,Sat,Dinner,2,15.26717557,Male,49.78126637,No,Yes,0
16.4,Female,Yes,Thur,Lunch,2,15.24390244,Male,46.40086227,No,No,0
13.13,Male,No,Sun,Dinner,2,15.23229246,Male,46.31740762,Yes,Yes,0
10.59,Female,Yes,Sat,Dinner,2,15.20302172,Female,37.50595762,No,No,0
9.55,Male,No,Sat,Dinner,2,15.18324607,Male,42.91225885,No,Yes,0
16.45,Female,No,Sat,Dinner,2,15.01519757,Female,44.35396031,No,No,0
17.59,Male,No,Sat,Dinner,3,15.00852757,Male,42.48148411,No,No,2
25,Female,No,Sun,Dinner,4,15,Female,46.43258183,Yes,Yes,1
24.06,Male,No,Sat,Dinner,3,14.96259352,Male,47.43250587,No,Yes,0
13.37,Male,No,Sat,Dinner,2,14.95886313,Male,40.48937997,Yes,No,0
34.81,Female,No,Sun,Dinner,4,14.93823614,Female,48.41776186,No,No,0
14.73,Female,No,Sat,Dinner,2,14.93550577,Female,41.25513802,Yes,Yes,0
34.83,Female,No,Thur,Lunch,4,14.8435257,Female,48.36961651,No,Yes,0
13.51,Male,Yes,Thur,Lunch,2,14.803849,Female,52.13322055,No,No,0
27.2,Male,No,Thur,Lunch,4,14.70588235,Male,37.3569596,No,No,0
8.51,Female,No,Thur,Lunch,2,14.68860165,Male,37.66988534,Yes,Yes,0
24.59,Female,No,Sun,Dinner,4,14.68076454,Male,36.93202524,No,No,0
20.45,Male,No,Sat,Dinner,4,14.66992665,Male,47.16585861,No,Yes,2
27.28,Male,Yes,Fri,Dinner,2,14.6627566,Female,53.07234059,Yes,No,0
17.46,Male,No,Sun,Dinner,2,14.54753723,Male,52.50832268,No,Yes,0
13.81,Male,Yes,Sat,Dinner,2,14.48225923,Male,51.81452946,Yes,No,1
13.81,Male,No,Sun,Dinner,2,14.48225923,Male,46.46804824,No,No,0
12.43,Female,No,Thur,Lunch,2,14.48109413,Female,36.97714006,No,Yes,0
22.75,Female,No,Fri,Dinner,2,14.28571429,Female,46.07663737,Yes,No,0
21.01,Male,Yes,Fri,Dinner,2,14.2789148,Male,37.58362454,No,No,0
24.52,Male,No,Sun,Dinner,3,14.19249592,Male,39.5655839,No,No,0
31.71,Male,No,Sun,Dinner,4,14.19110691,Female,44.81485571,No,No,0
35.26,Female,No,Sun,Dinner,4,14.18037436,Female,37.59231338,No,Yes,3
21.16,Male,No,Thur,Lunch,2,14.17769376,Male,38.82827846,No,No,0
15.77,Female,No,Sat,Dinner,2,14.14077362,Male,36.9038945,No,No,0
14.15,Female,No,Thur,Lunch,2,14.13427562,Male,46.49917387,Yes,Yes,0
29.8,Female,No,Thur,Lunch,6,14.09395973,Male,54.16559671,No,No,0
10.65,Female,No,Thur,Lunch,2,14.08450704,Male,40.72734406,Yes,No,0
16.43,Female,No,Thur,Lunch,2,13.99878271,Male,47.02522504,No,No,0
23.68,Male,No,Sun,Dinner,2,13.97804054,Male,46.26894937,No,Yes,0
16.04,Male,No,Sat,Dinner,3,13.96508728,Male,45.95369488,No,No,0
20.27,Female,No,Thur,Lunch,2,13.96151949,Male,45.34003335,No,No,2
48.27,Male,No,Sat,Dinner,4,13.94240729,Male,41.31199576,No,No,0
15.01,Male,Yes,Sat,Dinner,2,13.92405063,Female,43.18454648,Yes,Yes,0
14.48,Male,Yes,Sun,Dinner,2,13.8121547,Female,41.40601864,No,Yes,0
7.25,Female,No,Sat,Dinner,1,13.79310345,Male,42.21007056,No,No,2
14.52,Female,No,Thur,Lunch,2,13.77410468,Male,47.26981797,No,Yes,0
11.87,Female,No,Thur,Lunch,2,13.73209773,Male,49.61505236,No,No,0
10.77,Male,No,Sat,Dinner,2,13.64902507,Male,42.27269643,Yes,No,0
9.68,Male,No,Sun,Dinner,2,13.63636364,Female,46.16522757,No,No,0
18.35,Male,No,Sat,Dinner,4,13.6239782,Male,39.66861228,No,Yes,0
20.29,Female,No,Sat,Dinner,2,13.55347462,Male,36.84440967,No,Yes,0
11.17,Female,No,Thur,Lunch,2,13.42882722,Female,39.67943195,No,No,0
22.76,Male,No,Thur,Lunch,2,13.18101933,Female,33.99518483,No,Yes,0
17.81,Male,No,Sat,Dinner,4,13.13868613,Male,36.29049453,No,No,5
15.48,Male,Yes,Thur,Lunch,2,13.04909561,Male,40.10340866,No,No,0
35.83,Female,No,Sat,Dinner,3,13.03377058,Male,43.72193763,No,No,0
15.04,Male,No,Sun,Dinner,2,13.03191489,Male,28.80842794,Yes,Yes,0
22.12,Female,Yes,Sat,Dinner,2,13.0198915,Male,47.64234835,No,Yes,0
11.59,Male,Yes,Sat,Dinner,2,12.94219154,Male,40.87084662,No,Yes,0
26.59,Male,Yes,Sat,Dinner,3,12.82437006,Male,41.57694845,Yes,No,0
15.98,Male,No,Thur,Lunch,2,12.70337922,Male,37.13670734,No,No,0
15.95,Male,No,Thur,Lunch,2,12.53918495,Female,48.67466844,Yes,No,0
13.42,Female,No,Thur,Lunch,2,12.51862891,Male,38.0592306,No,Yes,0
16,Male,Yes,Thur,Lunch,2,12.5,Male,53.35994472,Yes,Yes,0
12.03,Male,Yes,Fri,Dinner,2,12.46882793,Male,46.93073483,No,No,0
10.07,Male,No,Sat,Dinner,2,12.41310824,Male,45.39486459,No,No,0
18.69,Male,No,Sat,Dinner,3,12.35955056,Male,48.17540358,No,Yes,0
16.21,Female,No,Sun,Dinner,3,12.33806292,Female,45.2370468,Yes,Yes,0
16.31,Male,No,Sat,Dinner,3,12.2624157,Female,52.70481933,No,Yes,0
41.19,Male,No,Thur,Lunch,5,12.13886866,Male,36.64526331,No,No,0
16.49,Male,No,Sun,Dinner,4,12.12856277,Male,41.14389214,No,No,0
24.08,Female,No,Thur,Lunch,4,12.12624585,Female,45.72222501,No,No,0
12.46,Male,No,Fri,Dinner,2,12.03852327,Male,45.51957434,No,No,1
10.51,Male,No,Sat,Dinner,2,11.89343482,Female,47.98252781,No,Yes,0
20.69,Female,No,Sat,Dinner,4,11.84146931,Male,40.36787797,Yes,Yes,0
40.17,Male,Yes,Fri,Dinner,4,11.77495644,Male,44.46649089,No,No,0
13.42,Male,Yes,Fri,Lunch,2,11.77347243,Male,48.53516611,No,Yes,0
26.86,Female,Yes,Sat,Dinner,2,11.69024572,Female,44.72072741,No,No,0
26.88,Male,No,Sun,Dinner,4,11.60714286,Male,41.39566179,Yes,No,2
43.11,Female,Yes,Thur,Lunch,4,11.59823707,Male,38.05982615,Yes,Yes,0
17.89,Male,Yes,Sun,Dinner,2,11.17942985,Male,38.66150646,No,No,0
20.76,Male,No,Sun,Dinner,2,10.78998073,Male,48.6509311,No,No,0
15.36,Male,Yes,Sat,Dinner,2,10.67708333,Female,41.08770158,Yes,No,0
28.15,Male,Yes,Sat,Dinner,5,10.65719361,Male,41.44505799,No,Yes,0
23.95,Male,No,Sun,Dinner,2,10.64718163,Male,38.61059022,No,No,0
34.65,Male,Yes,Sun,Dinner,4,10.62049062,Female,52.76617246,No,No,0
38.07,Male,No,Sun,Dinner,3,10.50696086,Male,40.16989245,No,Yes,1
48.17,Male,No,Sun,Dinner,6,10.3799045,Female,33.98679903,Yes,No,0
28.97,Male,Yes,Fri,Dinner,2,10.35554021,Male,39.47961712,Yes,No,0
30.14,Female,Yes,Sat,Dinner,4,10.2521566,Male,38.16711791,No,Yes,1
34.63,Male,Yes,Sun,Dinner,2,10.25122726,Male,35.14257915,Yes,No,0
15.42,Male,No,Sun,Dinner,2,10.18158236,Female,40.02668965,No,Yes,0
19.77,Male,No,Sun,Dinner,4,10.11633789,Female,37.41073091,No,No,0
31.85,Male,Yes,Sun,Dinner,2,9.984301413,Male,39.40723045,Yes,No,0
20.23,Male,No,Sat,Dinner,2,9.935739001,Male,36.07744733,No,No,0
17.82,Male,No,Sat,Dinner,2,9.820426487,Male,37.6385158,No,No,0
15.69,Male,Yes,Sun,Dinner,2,9.560229446,Female,42.97967636,No,No,0
22.82,Male,No,Thur,Lunch,3,9.553023663,Female,49.63203237,Yes,Yes,0
32.9,Male,Yes,Sun,Dinner,2,9.452887538,Female,40.46470679,No,Yes,0
28.44,Male,Yes,Thur,Lunch,2,9.00140647,Female,37.6584915,No,No,1
22.67,Male,Yes,Sat,Dinner,2,8.822232025,Male,36.68874649,No,Yes,0
12.9,Female,Yes,Sat,Dinner,2,8.527131783,Male,41.43952232,No,Yes,0
24.27,Male,Yes,Sat,Dinner,2,8.364235682,Female,41.33149927,No,No,0
24.01,Male,Yes,Sat,Dinner,4,8.329862557,Female,46.22021294,No,Yes,0
24.55,Male,No,Sun,Dinner,4,8.146639511,Male,43.34631256,Yes,No,0
12.6,Male,Yes,Sat,Dinner,2,7.936507937,Female,33.58662339,No,No,0
38.01,Male,Yes,Sat,Dinner,4,7.892659826,Male,45.42862691,No,No,0
19.08,Male,No,Thur,Lunch,2,7.86163522,Male,39.55846191,Yes,No,0
38.73,Male,Yes,Sat,Dinner,4,7.745933385,Female,28.13677484,Yes,Yes,0
45.35,Male,Yes,Sun,Dinner,3,7.717750827,Male,45.55780619,No,Yes,0
40.55,Male,Yes,Sun,Dinner,2,7.398273736,Male,49.27930057,Yes,No,0
27.18,Female,Yes,Sat,Dinner,2,7.358351729,Female,39.75887357,No,Yes,0
18.64,Female,No,Thur,Lunch,3,7.296137339,Male,39.71396153,No,No,0
28.55,Male,No,Sun,Dinner,3,7.180385289,Male,45.75425612,Yes,No,0
30.06,Male,Yes,Sat,Dinner,3,6.653359947,Male,45.12529604,No,No,0
30.46,Male,Yes,Sun,Dinner,5,6.565988181,Female,37.82111452,No,No,0
16.99,Female,No,Sun,Dinner,2,5.944673337,Female,41.2223013,No,No,0
26.41,Female,No,Sat,Dinner,2,5.679666793,Male,40.62153859,No,Yes,0
44.3,Female,Yes,Sat,Dinner,3,5.643340858,Male,42.10004335,No,Yes,0
32.83,Male,Yes,Sat,Dinner,2,3.563813585,Male,30.68950933,No,No,0
20.27,Male,No,Tue,Lunch,2,63.12,Female,33.98679903,No,No,0
10.07,Female,No,Tue,Lunch,4,54.97,Female,36.68874649,No,No,0
30.4,Male,No,Tue,Dinner,2,5.445720415,Male,36.9038945,No,No,0
16,Female,Yes,Wed,Lunch,2,6.857158456,Female,37.3569596,No,Yes,0
17.81,Female,No,Wed,Dinner,5,7.389894858,Male,37.6385158,No,Yes,0
15.42,Male,No,Wed,Dinner,3,9.142686514,Male,37.66988534,No,No,0
8.58,Male,No,Tue,Dinner,2,7.301715263,Female,37.82111452,No,Yes,0
13.37,Male,Yes,Tue,Dinner,3,4.173867815,Female,37.91412742,No,No,0
15.81,Male,No,Wed,Lunch,2,6.508683117,Female,38.0592306,No,Yes,0
19.81,Female,No,Tue,Lunch,1,5.406148735,Female,39.40723045,No,Yes,1
19.65,Male,No,Tue,Lunch,4,4.829675483,Female,39.45986653,No,Yes,0
26.88,Male,No,Wed,Dinner,3,4.52763025,Male,39.47961712,No,No,2
20.45,Male,Yes,Wed,Dinner,3,10.37820177,Female,39.66861228,No,Yes,0
13.42,Male,Yes,Wed,Dinner,2,3.93459724,Male,39.75887357,No,No,0
10.59,Male,No,Wed,Dinner,1,8.404474994,Male,40.14935979,No,Yes,0
35.83,Male,No,Tue,Lunch,3,4.573457346,Female,40.36787797,No,Yes,1
21.01,Male,Yes,Tue,Dinner,2,7.915010031,Male,40.68221559,No,Yes,0
18.28,Female,Yes,Tue,Dinner,2,8.351853438,Male,40.71356222,No,Yes,0
28.17,Female,No,Wed,Dinner,2,4.707001942,Male,40.72734406,No,No,0
15.48,Male,Yes,Tue,Lunch,4,7.329937192,Male,40.7617706,No,No,0
11.24,Male,No,Tue,Dinner,2,5.824316067,Male,41.23865561,No,No,1
41.19,Female,Yes,Tue,Dinner,2,5.081196322,Female,41.33149927,No,No,0
20.92,Female,No,Wed,Dinner,4,4.53855893,Female,42.10004335,No,Yes,0
23.17,Female,Yes,Tue,Dinner,2,9.871785033,Male,42.48148411,No,No,2
25.56,Female,No,Tue,Dinner,2,5.173901077,Female,43.14840649,No,Yes,0
16.29,Female,No,Wed,Lunch,2,6.638518179,Female,43.18454648,No,Yes,0
16.99,Male,No,Tue,Dinner,4,10.08415414,Male,43.20166074,No,Yes,0
32.4,Male,Yes,Wed,Dinner,2,9.854902126,Female,43.64770451,No,Yes,0
20.53,Male,Yes,Tue,Dinner,3,7.337702966,Male,43.77523259,No,Yes,0
11.61,Male,No,Tue,Dinner,2,10.63207545,Male,44.30376773,No,No,0
17.92,Female,No,Wed,Lunch,3,6.093878589,Female,44.49527906,No,No,0
20.08,Female,No,Wed,Dinner,5,7.616383612,Male,44.51476764,No,Yes,0
12.76,Male,Yes,Tue,Dinner,4,4.977660819,Female,44.59676375,No,No,0
24.55,Male,No,Wed,Dinner,4,7.385961504,Female,44.70126333,No,Yes,0
50.81,Male,Yes,Tue,Dinner,3,9.257938758,Male,44.72072741,No,No,0
16.66,Male,No,Wed,Lunch,2,10.56898819,Male,44.81485571,No,Yes,3
29.8,Male,Yes,Tue,Dinner,2,5.435568138,Male,45.32489632,No,No,0
17.51,Male,Yes,Tue,Dinner,2,6.628337283,Male,45.34003335,No,Yes,0
11.02,Female,Yes,Wed,Dinner,2,5.391395914,Female,45.55780619,No,No,2
13,Male,Yes,Wed,Dinner,1,11.29488217,Male,45.72222501,No,Yes,0
10.09,Female,Yes,Tue,Dinner,2,8.790748424,Male,45.81937058,No,Yes,0
25.71,Female,Yes,Tue,Dinner,2,5.93497888,Female,46.00657629,No,Yes,0
15.95,Female,Yes,Tue,Dinner,2,7.669421288,Male,46.32765243,No,No,0
13.28,Female,No,Wed,Dinner,2,11.24796667,Female,46.48119761,No,No,0
18.43,Male,Yes,Tue,Lunch,2,11.90713882,Male,46.62982314,No,No,0
9.94,Male,Yes,Tue,Dinner,3,10.11141045,Female,46.66140145,No,No,0
28.15,Male,No,Tue,Dinner,3,6.766526546,Male,46.76010831,No,No,3
16.97,Male,Yes,Tue,Lunch,1,7.476635017,Male,47.43868763,No,No,0
27.28,Female,No,Wed,Dinner,4,6.038035901,Male,47.51257451,No,Yes,0
22.75,Male,Yes,Wed,Dinner,3,8.708276869,Female,48.53516611,No,No,0
25.29,Male,Yes,Tue,Dinner,2,7.73481317,Female,48.60327722,No,Yes,0
13.27,Female,No,Tue,Dinner,4,9.357136379,Male,48.6509311,No,No,0
17.07,Male,No,Tue,Dinner,4,9.579168287,Male,48.929207,No,Yes,0
21.16,Male,No,Wed,Dinner,2,8.721926801,Male,49.60604116,No,No,0
27.05,Female,Yes,Wed,Dinner,2,6.983588224,Female,50.25860943,No,No,0
30.14,Female,Yes,Wed,Dinner,2,9.738531126,Female,51.10506632,No,No,0
14,Male,No,Wed,Dinner,2,9.510243283,Female,51.52995183,No,No,1
7.25,Female,No,Wed,Dinner,2,12.81108469,Male,52.50832268,No,No,0
16.4,Male,No,Tue,Dinner,3,13.11320825,Male,53.31571019,No,Yes,0
32.68,Male,No,Wed,Lunch,3,11.54889399,Female,53.35994472,No,No,0
